date,open,high,low,close,adj_close,volume
,PMI.SW,PMI.SW,PMI.SW,PMI.SW,PMI.SW,PMI.SW
2020-01-03,85.5,85.5,85.5,85.5,60.89698791503906,35
2020-01-06,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-07,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-08,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-09,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-10,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-13,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-14,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-15,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-16,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-17,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-20,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-21,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-22,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-23,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-24,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-27,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-28,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-29,83.0,83.0,83.0,83.0,59.11637496948242,0
2020-01-30,82.5,82.5,82.5,82.5,58.760250091552734,4
2020-01-31,82.5,82.5,82.5,82.5,58.760250091552734,0
2020-02-03,78.0,79.5,78.0,79.5,56.62351608276367,900
2020-02-04,79.5,79.5,79.5,79.5,56.62351608276367,0
2020-02-05,80.0,80.0,80.0,80.0,56.97964859008789,14
2020-02-06,80.0,80.0,80.0,80.0,56.97964859008789,0
2020-02-07,80.0,80.0,80.0,80.0,56.97964859008789,0
2020-02-10,85.5,85.5,85.5,85.5,60.89698791503906,200
2020-02-11,84.0,86.5,84.0,86.5,61.609230041503906,451
2020-02-12,86.5,86.5,86.5,86.5,61.609230041503906,0
2020-02-13,86.5,86.5,86.5,86.5,61.609230041503906,0
2020-02-14,86.0,86.0,86.0,86.0,61.25310516357422,7
2020-02-17,86.0,86.0,86.0,86.0,61.25310516357422,0
2020-02-18,86.0,86.0,86.0,86.0,61.25310516357422,50
2020-02-19,86.5,86.5,86.5,86.5,61.609230041503906,5
2020-02-20,86.5,86.5,86.5,86.5,61.609230041503906,0
2020-02-21,86.5,86.5,86.5,86.5,61.609230041503906,0
2020-02-24,86.5,86.5,86.5,86.5,61.609230041503906,10
2020-02-25,83.5,85.0,83.5,85.0,60.54086685180664,187
2020-02-26,86.0,86.0,86.0,86.0,61.25310516357422,1
2020-02-27,86.0,86.0,86.0,86.0,61.25310516357422,0
2020-02-28,71.0,71.0,71.0,71.0,50.56943130493164,29
2020-03-02,71.0,76.5,71.0,76.5,54.48677444458008,115
2020-03-03,77.5,77.5,77.5,77.5,55.19902801513672,0
2020-03-04,79.5,79.5,79.5,79.5,56.62351608276367,0
2020-03-05,79.5,79.5,79.5,79.5,56.62351608276367,0
2020-03-06,81.0,81.0,81.0,81.0,57.69188690185547,25
2020-03-09,77.0,77.0,77.0,77.0,54.8429069519043,42
2020-03-10,79.0,79.0,79.0,79.0,56.26738357543945,57
2020-03-11,79.0,79.0,79.0,79.0,56.26738357543945,0
2020-03-12,77.0,77.0,77.0,77.0,54.8429069519043,0
2020-03-13,63.0,70.0,63.0,70.0,49.85719299316406,480
2020-03-16,70.0,70.0,70.0,70.0,49.85719299316406,0
2020-03-17,60.0,60.0,60.0,60.0,42.7347297668457,0
2020-03-18,60.0,60.0,60.0,60.0,42.7347297668457,0
2020-03-19,60.0,60.0,60.0,60.0,42.7347297668457,0
2020-03-20,60.0,60.0,60.0,60.0,43.58462905883789,43
2020-03-23,58.0,58.0,57.5,57.5,41.76859664916992,265
2020-03-24,57.5,57.5,57.5,57.5,41.76859664916992,0
2020-03-25,65.0,65.0,64.0,64.0,46.490272521972656,280
2020-03-26,65.0,65.0,65.0,65.0,47.2166862487793,1029
2020-03-27,65.0,65.0,65.0,65.0,47.2166862487793,0
2020-03-30,67.5,69.0,67.5,69.0,50.12232971191406,355
2020-03-31,69.0,69.0,69.0,69.0,50.12232971191406,100
2020-04-01,61.0,67.5,61.0,67.5,49.032718658447266,638
2020-04-02,67.5,72.0,67.5,72.0,52.30155563354492,15
2020-04-03,75.0,75.0,75.0,75.0,54.48078918457031,200
2020-04-06,75.0,75.0,75.0,75.0,54.48078918457031,0
2020-04-07,75.0,75.0,75.0,75.0,54.48078918457031,0
2020-04-08,75.0,75.0,75.0,75.0,54.48078918457031,0
2020-04-09,75.0,75.0,75.0,75.0,54.48078918457031,0
2020-04-14,74.0,74.0,74.0,74.0,53.75437545776367,73
2020-04-15,74.0,74.0,74.0,74.0,53.75437545776367,0
2020-04-16,74.5,74.5,74.5,74.5,54.11758804321289,14
2020-04-17,74.5,74.5,73.0,73.0,53.0279655456543,37
2020-04-20,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-04-21,73.0,73.0,73.0,73.0,53.0279655456543,500
2020-04-22,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-04-23,71.0,71.0,71.0,71.0,51.57514953613281,0
2020-04-24,71.0,71.0,71.0,71.0,51.57514953613281,0
2020-04-27,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-04-28,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-04-29,73.0,73.0,73.0,73.0,53.0279655456543,15
2020-04-30,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-04,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-05,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-06,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-07,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-08,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-11,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-12,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-13,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-14,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-15,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-18,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-19,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-20,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-22,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-25,73.0,73.0,73.0,73.0,53.0279655456543,0
2020-05-26,73.0,73.0,73.0,73.0,53.0279655456543,0
