date,open,high,low,close,adj_close,volume
,AGTX,AGTX,AGTX,AGTX,AGTX,AGTX
2020-01-02,24.0,24.0,24.0,24.0,24.0,0
2020-01-03,24.0,24.0,24.0,24.0,24.0,0
2020-01-06,24.0,24.0,24.0,24.0,24.0,0
2020-01-07,24.0,24.0,24.0,24.0,24.0,0
2020-01-08,24.0,24.0,24.0,24.0,24.0,0
2020-01-09,24.0,24.0,24.0,24.0,24.0,0
2020-01-10,24.0,24.0,24.0,24.0,24.0,0
2020-01-13,24.0,24.0,24.0,24.0,24.0,0
2020-01-14,24.0,24.0,24.0,24.0,24.0,0
2020-01-15,24.0,24.0,24.0,24.0,24.0,0
2020-01-16,24.0,24.0,24.0,24.0,24.0,0
2020-01-17,24.0,24.0,24.0,24.0,24.0,0
2020-01-21,24.0,24.0,24.0,24.0,24.0,0
2020-01-22,24.0,24.0,24.0,24.0,24.0,0
2020-01-23,24.0,24.0,24.0,24.0,24.0,0
2020-01-24,24.0,24.0,24.0,24.0,24.0,0
2020-01-27,24.0,24.0,24.0,24.0,24.0,0
2020-01-28,24.0,24.0,24.0,24.0,24.0,0
2020-01-29,24.0,24.0,24.0,24.0,24.0,0
2020-01-30,24.0,24.0,24.0,24.0,24.0,0
2020-01-31,24.0,24.0,24.0,24.0,24.0,0
2020-02-03,24.0,24.0,24.0,24.0,24.0,0
2020-02-04,24.0,24.0,24.0,24.0,24.0,0
2020-02-05,24.0,24.0,24.0,24.0,24.0,0
2020-02-06,24.0,24.0,24.0,24.0,24.0,0
2020-02-07,24.0,24.0,24.0,24.0,24.0,0
2020-02-10,24.0,24.0,24.0,24.0,24.0,0
2020-02-11,24.0,24.0,24.0,24.0,24.0,0
2020-02-12,24.0,24.0,24.0,24.0,24.0,0
2020-02-13,24.0,24.0,24.0,24.0,24.0,0
2020-02-14,24.0,24.0,24.0,24.0,24.0,0
2020-02-18,24.0,24.0,24.0,24.0,24.0,0
2020-02-19,24.0,24.0,24.0,24.0,24.0,0
2020-02-20,24.0,24.0,24.0,24.0,24.0,0
2020-02-21,24.0,24.0,24.0,24.0,24.0,0
2020-02-24,24.0,24.0,24.0,24.0,24.0,0
2020-02-25,24.0,24.0,24.0,24.0,24.0,0
2020-02-26,24.0,24.0,24.0,24.0,24.0,0
2020-02-27,24.0,24.0,24.0,24.0,24.0,0
