date,open,high,low,close,adj_close,volume
,HSTA,HSTA,HSTA,HSTA,HSTA,HSTA
2020-01-02,14.0,14.0,14.0,14.0,14.0,0
2020-01-03,14.0,14.0,14.0,14.0,14.0,0
2020-01-06,14.0,14.0,14.0,14.0,14.0,0
2020-01-07,14.0,14.0,14.0,14.0,14.0,0
2020-01-08,14.0,14.0,14.0,14.0,14.0,0
2020-01-09,14.0,14.0,14.0,14.0,14.0,0
2020-01-10,14.0,14.0,14.0,14.0,14.0,0
2020-01-13,14.0,14.0,14.0,14.0,14.0,0
2020-01-14,14.0,14.0,14.0,14.0,14.0,0
2020-01-15,14.0,14.0,14.0,14.0,14.0,0
2020-01-16,14.0,14.0,14.0,14.0,14.0,0
2020-01-17,14.0,14.0,14.0,14.0,14.0,0
2020-01-21,14.0,14.0,14.0,14.0,14.0,0
2020-01-22,14.0,14.0,14.0,14.0,14.0,0
2020-01-23,14.0,14.0,14.0,14.0,14.0,0
2020-01-24,14.0,14.0,14.0,14.0,14.0,0
2020-01-27,14.0,14.0,14.0,14.0,14.0,0
2020-01-28,14.0,14.0,14.0,14.0,14.0,0
2020-01-29,14.0,14.0,14.0,14.0,14.0,0
2020-01-30,14.0,14.0,14.0,14.0,14.0,0
2020-01-31,14.0,14.0,14.0,14.0,14.0,0
2020-02-03,14.0,14.0,14.0,14.0,14.0,0
2020-02-04,14.0,14.0,14.0,14.0,14.0,0
2020-02-05,14.0,14.0,14.0,14.0,14.0,0
2020-02-06,14.0,14.0,14.0,14.0,14.0,0
2020-02-07,14.0,14.0,14.0,14.0,14.0,0
2020-02-10,14.0,14.0,14.0,14.0,14.0,0
2020-02-11,14.0,14.0,14.0,14.0,14.0,0
2020-02-12,14.0,14.0,14.0,14.0,14.0,0
2020-02-13,14.0,14.0,14.0,14.0,14.0,0
2020-02-14,14.0,14.0,14.0,14.0,14.0,0
2020-02-18,14.0,14.0,14.0,14.0,14.0,0
2020-02-19,14.0,14.0,14.0,14.0,14.0,0
2020-02-20,14.0,14.0,14.0,14.0,14.0,0
2020-02-21,14.0,14.0,14.0,14.0,14.0,0
2020-02-24,11.0,11.0,11.0,11.0,11.0,269
2020-02-25,11.0,11.0,11.0,11.0,11.0,0
2020-02-26,11.0,11.0,11.0,11.0,11.0,0
2020-02-27,11.0,11.0,11.0,11.0,11.0,0
2020-02-28,11.0,11.0,11.0,11.0,11.0,0
2020-03-02,11.0,11.0,11.0,11.0,11.0,0
2020-03-03,11.0,11.0,11.0,11.0,11.0,0
2020-03-04,11.0,11.0,11.0,11.0,11.0,0
2020-03-05,11.0,11.0,11.0,11.0,11.0,0
2020-03-06,11.0,11.0,11.0,11.0,11.0,0
2020-03-09,11.0,11.0,11.0,11.0,11.0,0
2020-03-10,11.0,11.0,11.0,11.0,11.0,0
2020-03-11,11.0,11.0,11.0,11.0,11.0,0
2020-03-12,11.0,11.0,11.0,11.0,11.0,0
2020-03-13,11.0,11.0,11.0,11.0,11.0,0
2020-03-16,11.0,11.0,11.0,11.0,11.0,0
2020-03-17,11.0,11.0,11.0,11.0,11.0,0
2020-03-18,11.0,11.0,11.0,11.0,11.0,0
2020-03-19,11.0,11.0,11.0,11.0,11.0,195
2020-03-20,11.0,11.0,11.0,11.0,11.0,0
2020-03-23,11.0,11.0,11.0,11.0,11.0,0
2020-03-24,11.0,11.0,11.0,11.0,11.0,0
2020-03-25,11.0,11.0,11.0,11.0,11.0,0
2020-03-26,11.0,11.0,11.0,11.0,11.0,0
2020-03-27,11.0,11.0,11.0,11.0,11.0,0
2020-03-30,11.0,11.0,11.0,11.0,11.0,0
2020-03-31,11.0,11.0,11.0,11.0,11.0,0
2020-04-01,11.0,11.0,11.0,11.0,11.0,0
2020-04-02,11.0,11.0,11.0,11.0,11.0,0
2020-04-03,11.0,11.0,11.0,11.0,11.0,0
2020-04-06,11.0,11.0,11.0,11.0,11.0,0
2020-04-07,11.0,11.0,11.0,11.0,11.0,0
2020-04-08,11.0,11.0,11.0,11.0,11.0,0
2020-04-09,11.0,11.0,11.0,11.0,11.0,0
2020-04-13,11.0,11.0,11.0,11.0,11.0,0
2020-04-14,11.0,11.0,11.0,11.0,11.0,0
2020-04-15,11.0,11.0,11.0,11.0,11.0,0
2020-04-16,11.0,11.0,11.0,11.0,11.0,0
2020-04-17,11.0,11.0,11.0,11.0,11.0,0
2020-04-20,11.0,11.0,11.0,11.0,11.0,0
2020-04-21,11.0,11.0,11.0,11.0,11.0,0
2020-04-22,11.0,11.0,11.0,11.0,11.0,0
2020-04-23,11.0,11.0,11.0,11.0,11.0,0
2020-04-24,11.0,11.0,11.0,11.0,11.0,0
2020-04-27,11.0,11.0,11.0,11.0,11.0,0
2020-04-28,11.0,11.0,11.0,11.0,11.0,0
2020-04-29,11.0,11.0,11.0,11.0,11.0,0
2020-04-30,11.0,11.0,11.0,11.0,11.0,0
2020-05-01,11.0,11.0,11.0,11.0,11.0,0
2020-05-04,11.0,11.0,11.0,11.0,11.0,0
2020-05-05,11.0,11.0,11.0,11.0,11.0,0
2020-05-06,11.0,11.0,11.0,11.0,11.0,0
