date,open,high,low,close,adj_close,volume
,PACV,PACV,PACV,PACV,PACV,PACV
2020-01-02,412.5,462.5,362.5,387.5,387.5,55
2020-01-03,387.5,393.75,262.5,275.0,275.0,364
2020-01-06,300.0,325.0,268.75,300.0,300.0,155
2020-01-07,300.0,437.5,287.5,412.5,412.5,126
2020-01-08,393.75,393.75,325.0,362.5,362.5,34
2020-01-09,356.25,375.0,287.5,300.0,300.0,25
2020-01-10,306.25,362.5,306.25,312.5,312.5,32
2020-01-13,312.5,356.25,275.0,275.0,275.0,30
2020-01-14,312.5,450.0,275.0,337.5,337.5,37
2020-01-15,312.5,350.0,287.5,306.25,306.25,32
2020-01-16,300.0,337.5,275.0,325.0,325.0,29
2020-01-17,325.0,375.0,287.5,337.5,337.5,17
2020-01-21,287.5,375.0,287.5,350.0,350.0,25
2020-01-22,312.5,350.0,275.0,287.5,287.5,51
2020-01-23,300.0,325.0,287.5,287.5,287.5,25
2020-01-24,287.5,312.5,275.0,300.0,300.0,14
2020-01-27,325.0,337.5,275.0,337.5,337.5,43
2020-01-28,325.0,337.5,287.5,312.5,312.5,33
2020-01-29,287.5,312.5,287.5,293.75,293.75,7
2020-01-30,300.0,300.0,250.0,300.0,300.0,66
2020-01-31,287.5,300.0,237.5,237.5,237.5,40
2020-02-03,237.5,262.5,225.0,237.5,237.5,16
2020-02-04,250.0,275.0,225.0,237.5,237.5,13
2020-02-05,250.0,262.5,225.0,237.5,237.5,28
2020-02-06,250.0,250.0,212.5,225.0,225.0,41
2020-02-07,225.0,237.5,212.5,218.75,218.75,66
2020-02-10,212.5,237.5,200.0,225.0,225.0,29
2020-02-11,231.25,231.25,212.5,218.75,218.75,34
2020-02-12,212.5,225.0,206.25,212.5,212.5,15
2020-02-13,212.5,237.5,200.0,237.5,237.5,25
2020-02-14,237.5,262.5,212.5,237.5,237.5,23
2020-02-18,225.0,231.25,212.5,225.0,225.0,9
2020-02-19,225.0,250.0,225.0,250.0,250.0,16
2020-02-20,250.0,250.0,237.5,237.5,237.5,13
2020-02-21,250.0,262.5,212.5,237.5,237.5,51
2020-02-24,256.25,371.25,225.0,300.0,300.0,76
2020-02-25,300.0,387.5,287.5,312.5,312.5,32
2020-02-26,312.5,387.5,312.5,350.0,350.0,30
2020-02-27,362.5,437.5,275.0,425.0,425.0,54
2020-02-28,337.5,425.0,287.5,400.0,400.0,37
2020-03-02,425.0,437.5,362.5,425.0,425.0,25
2020-03-03,431.25,450.0,375.0,437.5,437.5,9
2020-03-04,437.5,500.0,387.5,400.0,400.0,7
2020-03-05,387.5,400.0,350.0,350.0,350.0,8
2020-03-06,362.5,400.0,312.5,375.0,375.0,16
2020-03-09,312.5,400.0,300.0,400.0,400.0,10
2020-03-10,387.5,500.0,325.0,425.0,425.0,87
2020-03-11,425.0,425.0,312.5,325.0,325.0,46
2020-03-12,350.0,375.0,287.5,350.0,350.0,29
2020-03-13,350.0,475.0,300.0,450.0,450.0,34
2020-03-16,287.5,375.0,262.5,300.0,300.0,75
2020-03-17,300.0,350.0,275.0,337.5,337.5,20
2020-03-18,337.5,350.0,275.0,312.5,312.5,28
2020-03-19,280.0,300.0,268.75,287.5,287.5,45
2020-03-20,262.5,312.5,250.0,312.5,312.5,46
2020-03-23,312.5,312.5,250.0,262.5,262.5,14
2020-03-24,337.5,337.5,300.0,312.5,312.5,14
2020-03-25,300.0,337.5,287.5,337.5,337.5,10
2020-03-26,308.75,350.0,287.5,312.5,312.5,24
2020-03-27,312.5,337.5,287.5,325.0,325.0,24
2020-03-30,337.5,375.0,312.5,312.5,312.5,9
2020-03-31,287.5,300.0,200.0,250.0,250.0,127
2020-04-01,275.0,275.0,237.5,250.0,250.0,6
2020-04-02,237.5,250.0,225.0,225.0,225.0,42
2020-04-03,225.0,225.0,200.0,225.0,225.0,52
2020-04-06,225.0,250.0,187.5,200.0,200.0,48
2020-04-07,200.0,212.5,187.5,212.5,212.5,102
2020-04-08,212.5,275.0,206.25,225.0,225.0,70
2020-04-09,225.0,262.5,125.0,156.25,156.25,277
2020-04-13,200.0,250.0,92.5,247.5,247.5,11
2020-04-14,225.0,225.0,122.5,195.0,195.0,48
2020-04-15,155.0,195.0,142.5,161.25,161.25,14
2020-04-16,142.5,190.0,142.5,187.5,187.5,45
2020-04-17,162.5,198.5,162.5,187.5,187.5,9
2020-04-20,150.0,175.0,150.0,174.75,174.75,9
2020-04-21,175.0,175.0,100.0,135.0,135.0,106
2020-04-22,137.5,172.5,137.5,172.5,172.5,4
2020-04-23,196.75,225.0,196.75,202.5,202.5,118
2020-04-24,234.97500610351562,250.0,218.7375030517578,235.02499389648438,235.02499389648438,40
2020-04-27,247.5,250.0,200.0,242.5,242.5,14
2020-04-28,242.0,242.5,200.0,225.0,225.0,19
2020-04-29,225.0,225.0,212.5,225.0,225.0,10
2020-04-30,220.0,220.0,220.0,220.0,220.0,4
2020-05-01,225.0,297.5,220.0,220.0,220.0,39
2020-05-04,225.0,225.0,225.0,225.0,225.0,2
2020-05-05,247.5,250.0,202.5,250.0,250.0,6
2020-05-06,247.5,275.0,235.0,275.0,275.0,15
2020-05-07,255.0,337.5,217.5,307.5,307.5,92
2020-05-08,290.0,327.5,267.5,325.0,325.0,57
2020-05-11,362.5,362.5,300.0,327.5,327.5,11
2020-05-12,345.0,345.0,277.5,342.5,342.5,29
2020-05-13,325.0,477.5,325.0,400.0,400.0,55
2020-05-14,342.5,500.0,342.5,442.4750061035156,442.4750061035156,31
2020-05-15,362.5,490.0,362.5,450.0,450.0,11
2020-05-18,400.0,487.5,400.0,472.5,472.5,10
2020-05-19,407.5,410.0,325.0,407.5,407.5,189
2020-05-20,342.5,350.0,337.5,350.0,350.0,57
2020-05-21,375.0,387.5,332.5,372.5,372.5,14
2020-05-22,375.0,395.0,372.5,375.0,375.0,7
2020-05-26,375.0,392.5,327.5,375.0,375.0,15
2020-05-27,387.5,387.5,330.0,367.5,367.5,5
2020-05-28,387.5,387.5,350.0,380.0,380.0,61
2020-05-29,327.5,397.5,325.0,387.5,387.5,13
2020-06-01,325.0,387.5,325.0,367.5,367.5,19
2020-06-02,337.5,367.5,220.0,300.0,300.0,82
2020-06-03,337.5,412.5,300.0,400.0,400.0,128
2020-06-04,445.0,447.5,275.0,387.5,387.5,80
2020-06-05,327.5249938964844,395.0,327.5,385.0,385.0,38
2020-06-08,380.0,385.0,342.5,342.5,342.5,13
2020-06-09,387.5,387.5,342.5,342.5,342.5,13
2020-06-10,352.5,402.5,352.5,375.0,375.0,17
2020-06-11,375.0,375.0,325.0,375.0,375.0,32
2020-06-12,360.0,375.0,320.0,375.0,375.0,10
2020-06-15,317.5,375.0,317.5,362.5,362.5,16
2020-06-16,325.0,385.0,325.0,345.0,345.0,18
2020-06-17,362.5,362.5,325.0,325.0,325.0,46
2020-06-18,322.5,330.0,280.0,320.0,320.0,40
2020-06-19,330.0,330.0,277.5,312.5,312.5,22
2020-06-22,342.5,342.5,277.5,310.0,310.0,89
2020-06-23,277.5,297.5,275.0,297.5,297.5,44
2020-06-24,297.5,301.25,297.5,300.0,300.0,2
2020-06-25,275.0,302.5,275.0,302.5,302.5,13
2020-06-26,277.5,300.0,277.5,300.0,300.0,3
2020-06-29,275.0,295.0,252.5,295.0,295.0,103
2020-06-30,285.0,295.0,275.0,295.0,295.0,13
2020-07-01,295.0,295.0,252.5,292.5,292.5,4
2020-07-02,275.0,295.0,275.0,295.0,295.0,24
2020-07-06,297.5,297.5,282.5,292.5,292.5,24
2020-07-07,295.0,297.5,280.0,295.0,295.0,6
2020-07-08,255.0,297.5,200.0,297.5,297.5,69
2020-07-09,245.0,292.5,245.0,292.5,292.5,3
2020-07-10,262.5,297.5,262.5,297.5,297.5,7
2020-07-13,275.0,275.0,275.0,275.0,275.0,2
2020-07-14,287.5,287.5,275.0,275.0,275.0,10
2020-07-15,262.5,312.5,262.5,312.5,312.5,33
2020-07-16,312.5,325.0,312.5,325.0,325.0,4
2020-07-17,325.0,367.5,325.0,337.5,337.5,28
2020-07-20,337.5,370.0,325.0,337.5,337.5,44
2020-07-21,297.5,337.5,297.5,337.5,337.5,15
2020-07-22,317.5,335.0,297.5,335.0,335.0,6
2020-07-23,337.5,337.5,337.5,337.5,337.5,0
2020-07-24,300.0,367.5,298.75,362.5,362.5,23
2020-07-27,345.0,355.0,345.0,345.0,345.0,14
2020-07-28,345.0,345.0,337.5,337.5,337.5,28
2020-07-29,355.0,365.0,331.25,350.0,350.0,21
2020-07-30,295.0,295.0,267.5,275.0,275.0,21
2020-07-31,268.75,312.5,268.75,312.5,312.5,6
2020-08-03,300.0,360.0,285.0,295.0,295.0,7
2020-08-04,282.5,342.5,282.5,342.5,342.5,17
2020-08-05,350.0,370.0,297.5,297.5,297.5,97
2020-08-06,302.5,347.5,272.5,287.5,287.5,93
2020-08-07,318.75,350.0,287.5,318.125,318.125,13
2020-08-10,335.0,335.0,280.0,280.0,280.0,22
2020-08-11,285.0,287.5,272.5,272.5,272.5,74
2020-08-12,285.0,287.5,272.5,287.5,287.5,14
2020-08-13,272.5,285.0,262.5,285.0,285.0,103
2020-08-14,277.5,285.0,276.25,280.0,280.0,30
2020-08-17,277.5,280.0,235.0,280.0,280.0,107
2020-08-18,275.0,277.5,235.0,249.5,249.5,36
2020-08-19,250.0,250.0,227.5,245.0,245.0,8
2020-08-20,232.5,327.5,232.5,287.5,287.5,88
2020-08-21,227.5,262.5,227.5,262.5,262.5,12
2020-08-24,240.0,250.0,237.5,250.0,250.0,91
2020-08-25,250.0,250.0,237.5,237.5,237.5,28
2020-08-26,257.5,287.5,181.0,210.0,210.0,235
2020-08-27,209.25,210.0,182.5,182.5,182.5,45
2020-08-28,212.0,212.5,187.5,210.0,210.0,39
2020-08-31,210.0,260.0,199.75,225.0,225.0,89
2020-09-01,225.0,237.5,225.0,229.9875030517578,229.9875030517578,30
2020-09-02,229.9875030517578,229.9875030517578,229.9875030517578,229.9875030517578,229.9875030517578,0
2020-09-03,212.5,212.5,212.5,212.5,212.5,18
2020-09-04,213.0,213.0,212.5,212.5,212.5,2
2020-09-08,225.02499389648438,225.02499389648438,225.02499389648438,225.02499389648438,225.02499389648438,4
2020-09-09,212.5,212.5,212.5,212.5,212.5,1
2020-09-10,220.0,220.0,220.0,220.0,220.0,7
2020-09-11,257.5,257.5,213.0,213.0,213.0,0
2020-09-14,212.5,215.0,212.5,212.5,212.5,28
2020-09-15,212.5,212.5,212.5,212.5,212.5,0
2020-09-16,200.0,220.0,200.0,200.0,200.0,20
2020-09-17,200.0,224.9875030517578,137.5,200.0,200.0,57
2020-09-18,222.4875030517578,222.4875030517578,200.0,200.0,200.0,5
2020-09-21,180.0,187.5,149.97500610351562,187.0,187.0,26
2020-09-22,150.0,187.5,150.0,187.5,187.5,72
2020-09-23,152.5,167.5,152.5,167.5,167.5,30
2020-09-24,175.0,175.0,172.5,172.5,172.5,30
2020-09-25,172.5,172.5,172.5,172.5,172.5,0
2020-09-28,172.5,172.5,172.5,172.5,172.5,0
2020-09-29,170.0,170.0,170.0,170.0,170.0,5
2020-09-30,137.5,175.0,137.5,175.0,175.0,2
2020-10-01,150.0,175.02499389648438,150.0,175.0,175.0,10
2020-10-02,175.0,175.0,175.0,175.0,175.0,0
2020-10-05,165.0,187.5,150.0,187.5,187.5,66
2020-10-06,168.75,175.0,152.5,175.0,175.0,9
2020-10-07,210.0,210.0,150.0,162.5,162.5,33
2020-10-08,162.5,175.0,162.5,165.0,165.0,33
2020-10-09,175.0,175.0,157.5,157.5,157.5,30
2020-10-12,160.0,160.0,160.0,160.0,160.0,4
2020-10-13,167.5,167.5,167.5,167.5,167.5,10
2020-10-14,155.8249969482422,155.8249969482422,147.5,147.5,147.5,52
2020-10-15,150.0,162.52499389648438,148.75,155.0,155.0,33
2020-10-16,155.0,155.0,155.0,155.0,155.0,0
2020-10-19,162.5,162.5,162.5,162.5,162.5,8
2020-10-20,157.5,162.5,157.5,162.5,162.5,6
2020-10-21,147.52499389648438,162.5,147.52499389648438,162.5,162.5,7
2020-10-22,150.0,162.5,150.0,150.0,150.0,4
2020-10-23,162.5,162.5,162.5,162.5,162.5,4
2020-10-26,152.5,162.5,150.0,152.5,152.5,37
2020-10-27,152.52499389648438,152.52499389648438,152.52499389648438,152.52499389648438,152.52499389648438,7
2020-10-28,152.75,155.0,150.0,152.5,152.5,16
2020-10-29,152.5,152.5,147.5,147.5,147.5,18
2020-10-30,157.5,157.5,156.25,156.25,156.25,5
2020-11-02,156.25,156.25,156.25,156.25,156.25,0
2020-11-03,150.0,150.0,150.0,150.0,150.0,0
2020-11-04,150.0,150.02499389648438,147.5,147.5,147.5,36
2020-11-05,143.75,143.75,143.75,143.75,143.75,2
2020-11-06,143.75,143.75,143.75,143.75,143.75,0
2020-11-09,143.75,143.75,143.75,143.75,143.75,0
2020-11-10,143.75,143.75,143.75,143.75,143.75,0
2020-11-11,140.0,140.0,140.0,140.0,140.0,2
2020-11-12,137.8249969482422,181.41250610351562,130.0,132.5,132.5,16
2020-11-13,130.0,130.0,130.0,130.0,130.0,6
2020-11-16,88.5,125.0,88.5,112.5250015258789,112.5250015258789,46
2020-11-17,112.5250015258789,115.0,112.5250015258789,114.9749984741211,114.9749984741211,18
2020-11-18,114.9749984741211,114.9749984741211,114.9749984741211,114.9749984741211,114.9749984741211,0
2020-11-19,90.5999984741211,135.0,90.5999984741211,135.0,135.0,11
2020-11-20,132.5,132.5,132.5,132.5,132.5,2
2020-11-23,130.0,130.0,105.0,117.5,117.5,14
2020-11-24,107.5,127.5,107.5,127.5,127.5,10
2020-11-25,105.0,105.0,102.5,102.5,102.5,16
2020-11-27,102.5,102.5,102.5,102.5,102.5,0
2020-11-30,105.0,137.5,105.0,137.5,137.5,4
2020-12-01,137.5,137.5,137.5,137.5,137.5,0
2020-12-02,102.5,112.82499694824219,102.5,112.82499694824219,112.82499694824219,2
2020-12-03,107.5,130.0,107.5,130.0,130.0,2
2020-12-04,107.5,122.5,103.1500015258789,122.5,122.5,32
2020-12-07,116.25,116.25,116.25,116.25,116.25,0
2020-12-08,116.25,116.25,116.25,116.25,116.25,0
2020-12-09,116.25,116.25,100.0,116.25,116.25,23
2020-12-10,116.25,116.25,116.25,116.25,116.25,3
2020-12-11,116.25,116.25,116.25,116.25,116.25,0
2020-12-14,116.25,116.25,116.25,116.25,116.25,0
2020-12-15,116.25,116.25,116.25,116.25,116.25,0
2020-12-16,116.25,132.5,115.0,115.0,115.0,3
2020-12-17,115.0,115.0,115.0,115.0,115.0,0
2020-12-18,115.0,115.0,115.0,115.0,115.0,0
2020-12-21,112.5,112.5,98.75,100.0,100.0,21
2020-12-22,100.0,100.0,100.0,100.0,100.0,0
2020-12-23,100.0,113.75,100.0,113.75,113.75,26
2020-12-24,113.75,113.75,113.75,113.75,113.75,0
2020-12-28,97.5,108.75,97.5,97.5,97.5,6
2020-12-29,108.75,108.75,97.5,97.5,97.5,16
2020-12-30,97.5,112.125,97.5,112.125,112.125,2
2020-12-31,98.0,98.0,97.875,97.875,97.875,7
2021-01-04,97.5,100.0,97.5,97.5,97.5,2
2021-01-05,97.5,97.5,97.5,97.5,97.5,0
2021-01-06,97.5,97.5,97.5,97.5,97.5,0
2021-01-07,100.0,100.0,97.5,97.5,97.5,11
2021-01-08,97.5,97.5,97.5,97.5,97.5,0
2021-01-11,97.5,97.5,97.5,97.5,97.5,0
2021-01-12,97.5,121.25,97.5,121.25,121.25,6
2021-01-13,117.2249984741211,117.2249984741211,100.0,108.375,108.375,4
2021-01-14,108.375,108.375,108.375,108.375,108.375,0
2021-01-15,108.375,108.375,108.375,108.375,108.375,0
2021-01-19,97.5,127.5,97.5,97.5,97.5,70
2021-01-20,97.5,108.75,97.5,97.75,97.75,11
2021-01-21,97.5,97.5,97.5,97.5,97.5,0
2021-01-22,97.5,111.25,87.5,102.0625,102.0625,23
2021-01-25,102.0625,102.0625,102.0625,102.0625,102.0625,0
2021-01-26,108.75,111.0,108.75,111.0,111.0,6
2021-01-27,104.375,104.375,104.375,104.375,104.375,0
2021-01-28,100.0,111.0,97.5,111.0,111.0,4
2021-01-29,111.0,111.0,111.0,111.0,111.0,0
2021-02-01,112.5,130.0,112.5,130.0,130.0,15
2021-02-02,97.5,130.0,97.5,130.0,130.0,0
2021-02-03,100.0,100.0,97.5,97.5,97.5,1
2021-02-04,100.0,100.0,100.0,100.0,100.0,2
2021-02-05,102.5,102.5,102.5,102.5,102.5,1
2021-02-08,98.75,101.625,98.75,101.25,101.25,13
2021-02-09,101.25,105.0625,101.25,105.0625,105.0625,6
2021-02-10,106.25,135.0,102.5,127.75,127.75,42
2021-02-11,130.0,162.5,105.5,162.5,162.5,57
2021-02-12,156.25,175.0,150.0,162.5,162.5,11
2021-02-16,162.5,162.5,158.75,162.5,162.5,19
2021-02-17,175.0,175.0,150.0,162.5,162.5,38
2021-02-18,114.25,114.25,114.25,114.25,114.25,1
2021-02-19,116.25,116.25,116.25,116.25,116.25,0
2021-02-22,170.0,170.0,170.0,170.0,170.0,1
2021-02-23,170.0,170.0,170.0,170.0,170.0,2
2021-02-24,125.0,125.0,122.5,122.5,122.5,8
2021-02-25,122.5,122.5,122.5,122.5,122.5,0
2021-02-26,152.5,175.0,152.5,157.5,157.5,28
2021-03-01,157.5,157.5,157.5,157.5,157.5,0
2021-03-02,117.5,122.5,117.5,117.5,117.5,120
2021-03-03,148.75,295.0,145.75,161.25,161.25,903
2021-03-04,159.0,181.25,125.0,160.0,160.0,314
2021-03-05,160.0,160.0,117.5,148.75,148.75,160
2021-03-08,142.5,150.0,142.5,149.875,149.875,32
2021-03-09,142.5,147.5,120.0,127.5,127.5,163
2021-03-10,127.5,137.5,112.5,112.5,112.5,110
2021-03-11,113.125,123.75,100.0,102.5,102.5,311
2021-03-12,104.5,111.1875,98.75,107.25,107.25,351
2021-03-15,112.25,112.25,98.75,102.5,102.5,210
2021-03-16,118.125,165.0,115.625,140.0,140.0,1173
2021-03-17,148.125,148.75,100.25,115.0,115.0,1050
2021-03-18,135.0,135.0,97.5,97.5,97.5,768
2021-03-19,96.25,106.25,93.75,103.75,103.75,374
2021-03-22,106.25,106.25,80.125,92.13749694824219,92.13749694824219,583
2021-03-23,86.25,87.5,75.0,86.25,86.25,629
2021-03-24,92.20500183105469,126.125,78.0,78.0,78.0,1813
2021-03-25,100.0,100.0,80.0,95.0,95.0,17
2021-03-26,87.6875,94.875,87.5,92.0,92.0,25
2021-03-29,81.5,97.375,81.5,89.9000015258789,89.9000015258789,37
2021-03-30,95.0,97.375,92.4749984741211,94.7249984741211,94.7249984741211,25
2021-03-31,119.75,119.75,87.75,100.0,100.0,40
2021-04-01,95.0,95.0,88.0,92.5,92.5,66
2021-04-05,88.0,104.7249984741211,88.0,104.7249984741211,104.7249984741211,12
2021-04-06,104.75,104.75,95.0,100.0,100.0,70
2021-04-07,95.0,101.25,87.5,95.0,95.0,82
2021-04-08,107.5,110.0,92.75,93.75,93.75,81
2021-04-09,93.75,95.0,82.75,87.5,87.5,48
2021-04-12,92.375,94.8499984741211,92.3499984741211,94.8499984741211,94.8499984741211,14
2021-04-13,92.5,94.875,92.375,94.875,94.875,31
2021-04-14,91.625,92.5,91.625,92.5,92.5,13
2021-04-15,90.625,95.0,86.25,92.5,92.5,94
2021-04-16,90.0,92.5,90.0,92.5,92.5,74
2021-04-19,90.0,92.48750305175781,87.47250366210938,87.47250366210938,87.47250366210938,12
2021-04-20,82.75,87.5,82.5,82.5,82.5,53
2021-04-21,95.0,109.92500305175781,82.5,94.92500305175781,94.92500305175781,356
2021-04-22,105.0,105.0,95.0,95.0,95.0,83
2021-04-23,90.25,95.0,90.0,94.9749984741211,94.9749984741211,32
2021-04-26,105.0,115.0,90.2750015258789,107.52249908447266,107.52249908447266,171
2021-04-27,112.5,125.0,112.5,125.0,125.0,123
2021-04-28,125.0,132.5,108.75,108.75,108.75,86
2021-04-29,132.5,132.5,97.5,97.5,97.5,66
2021-04-30,112.5,122.5,112.5,122.5,122.5,62
2021-05-03,122.25,125.0,115.125,115.125,115.125,20
2021-05-04,120.0,120.0,120.0,120.0,120.0,24
2021-05-05,112.5,120.0,112.5,115.0,115.0,86
2021-05-06,110.625,110.625,110.625,110.625,110.625,2
2021-05-07,112.5,120.0,112.5,120.0,120.0,1
2021-05-10,119.75,119.75,119.75,119.75,119.75,4
2021-05-11,119.73750305175781,119.75,102.25,102.25,102.25,22
2021-05-12,98.75,98.75,98.75,98.75,98.75,2
2021-05-13,108.75,112.8375015258789,108.75,112.8375015258789,112.8375015258789,3
