date,open,high,low,close,adj_close,volume
,VSA,VSA,VSA,VSA,VSA,VSA
2020-01-02,507.5,680.75,506.25,590.0,590.0,2675
2020-01-03,617.5,677.5,580.0,620.0,620.0,3358
2020-01-06,620.0,672.5,589.0,620.0,620.0,1708
2020-01-07,620.0,667.5,612.5,662.5,662.5,914
2020-01-08,685.0,720.0,607.5,640.0,640.0,2594
2020-01-09,642.5,657.5,617.5,625.0,625.0,739
2020-01-10,625.0,663.25,625.0,640.0,640.0,540
2020-01-13,640.0,658.25,632.5,652.5,652.5,859
2020-01-14,657.5,692.5,630.0,640.0,640.0,1146
2020-01-15,645.0,657.5,550.0,552.5,552.5,1347
2020-01-16,565.0,632.5,565.0,625.0,625.0,1669
2020-01-17,650.0,720.0,650.0,705.0,705.0,1757
2020-01-21,700.0,875.0,700.0,835.0,835.0,4003
2020-01-22,845.0,995.0,839.5,920.0,920.0,5218
2020-01-23,920.0,920.0,832.5,870.0,870.0,1884
2020-01-24,857.5,895.0,762.5,787.5,787.5,2380
2020-01-27,707.5,762.5,662.5,700.0,700.0,1915
2020-01-28,712.5,727.5,665.0,670.0,670.0,992
2020-01-29,667.5,745.0,627.5,650.0,650.0,1965
2020-01-30,630.0,687.5,630.0,655.0,655.0,948
2020-01-31,657.5,670.0,552.5,570.0,570.0,1834
2020-02-03,512.5,587.5,500.0,547.5,547.5,2859
2020-02-04,562.5,620.0,562.5,570.0,570.0,2345
2020-02-05,580.0,607.5,565.0,580.0,580.0,1096
2020-02-06,582.5,610.0,582.5,597.5,597.5,775
2020-02-07,615.0,630.0,580.0,595.0,595.0,2244
2020-02-10,605.0,612.5,582.5,587.5,587.5,2783
2020-02-11,597.5,607.5,595.0,597.5,597.5,840
2020-02-12,600.0,605.0,580.0,582.5,582.5,3297
2020-02-13,585.0,597.5,550.0,562.5,562.5,1322
2020-02-14,562.5,582.5,550.0,550.0,550.0,863
2020-02-18,566.75,587.5,545.0,552.5,552.5,917
2020-02-19,552.5,575.0,543.75,555.0,555.0,2210
2020-02-20,555.0,595.0,552.5,582.5,582.5,851
2020-02-21,582.5,600.0,575.0,587.5,587.5,354
2020-02-24,567.5,614.0,562.5,590.0,590.0,1206
2020-02-25,595.0,725.0,593.5,705.0,705.0,2908
2020-02-26,765.0,1125.0,752.5,955.0,955.0,15211
2020-02-27,1042.5,1207.5,982.5,1137.5,1137.5,7368
2020-02-28,1102.5,1130.0,754.0,775.0,775.0,3795
2020-03-02,942.5,1045.0,927.5,1015.0,1015.0,4286
2020-03-03,1022.5,1040.0,900.0,992.5,992.5,3173
2020-03-04,1005.0,1006.25,975.0,997.5,997.5,1459
2020-03-05,985.0,1004.75,960.0,980.0,980.0,1350
2020-03-06,957.5,980.0,881.25,922.5,922.5,1233
2020-03-09,832.5,900.0,832.5,895.0,895.0,1054
