Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
PSKRF,PSKRF,Business description unavailable.,USD,52.75,52.75,2025-12-30,3.38,2024-12-27,520.6,52.75,2025-12-24,,,,169,0.181,,,2025-02-06,41.0,5.19,2025-04-14,2025-04-30,True
PRAX,PRAX,Business description unavailable.,USD,297.02,297.02,2025-12-30,28.47,2025-04-10,460.2,903.0,2021-01-07,12.06,2023-03-30,98.7,960483,0.1442,2023-04-17,18.0,2025-04-29,19.0,29.67,2025-04-15,2025-05-02,True
TERN,TERN,Business description unavailable.,USD,40.59,40.59,2025-12-30,2.0,2025-04-07,419.7,47.09,2025-12-11,39.82,2025-12-18,15.4,4420413,0.0895,,,2025-04-21,14.0,2.24,2025-04-16,2025-04-24,True
ANRO,ANRO,Business description unavailable.,USD,17.94,17.94,2025-12-30,1.8,2025-04-04,340.8,21.8,2024-02-05,1.8,2025-04-04,91.7,408493,0.112,2025-04-15,11.0,2025-04-15,11.0,2.08,2025-04-14,2025-05-20,True
OMER,OMER,Business description unavailable.,USD,16.96,16.96,2025-12-30,2.97,2025-07-01,309.7,23.53,2021-02-19,1.08,2023-10-27,95.4,2857326,0.1494,2023-11-07,11.0,2025-07-14,13.0,2.97,2025-07-01,2025-07-14,True
CAPR,CAPR,Business description unavailable.,USD,28.96,28.96,2025-12-30,4.6,2025-11-25,270.3,30.04,2025-12-29,,,,4253893,0.2057,,,2025-12-01,6.0,4.6,2025-11-25,2025-12-01,True
HYMC,HYMC,Business description unavailable.,USD,23.48,23.48,2025-12-30,2.03,2025-01-13,258.5,82.4,2021-01-06,1.76,2023-11-14,97.9,3520976,0.0787,2023-12-27,43.0,2025-02-12,30.0,2.76,2025-05-19,2025-06-03,True
AXTI,AXTI,Business description unavailable.,USD,15.8,15.8,2025-12-30,1.16,2025-04-11,221.8,16.38,2025-12-11,12.36,2025-12-17,24.5,3728743,0.0711,,,2025-05-12,31.0,1.16,2025-04-14,2025-05-12,True
PACS,PACS,Business description unavailable.,USD,39.27,39.27,2025-12-30,7.71,2025-09-10,179.9,42.94,2024-11-01,7.71,2025-09-10,82.0,2399823,0.0821,2025-09-15,5.0,2025-09-15,5.0,7.71,2025-09-10,2025-09-15,True
RHLD,RHLD,Business description unavailable.,USD,206.81,206.81,2025-12-30,24.91,2025-04-21,179.6,219.72,2025-12-24,,,,70860,0.0954,,,2025-05-19,28.0,24.91,2025-04-21,2025-05-19,True
FRGE,FRGE,Business description unavailable.,USD,44.54,44.54,2025-12-30,7.43,2025-04-04,177.2,564.6,2022-03-30,7.43,2025-04-04,98.7,460150,0.0726,2025-04-15,11.0,2025-04-15,11.0,8.64,2025-04-16,2025-04-21,True
ALTB,ALTB,Business description unavailable.,USD,8.0,8.0,2025-12-30,2.02,2024-12-27,166.7,10.0,2020-12-23,0.51,2021-08-10,94.9,6,0.0747,2021-08-31,21.0,2025-06-24,179.0,2.02,2025-04-14,2025-06-24,True
COGT,COGT,Business description unavailable.,USD,37.12,37.12,2025-12-30,4.02,2025-04-10,162.7,42.11,2025-12-12,37.12,2025-12-30,11.8,2723526,0.1038,,,2025-05-01,21.0,4.27,2025-04-16,2025-05-01,True
GPCR,GPCR,Business description unavailable.,USD,67.78,67.78,2025-12-30,14.15,2025-04-08,160.3,74.3,2023-10-31,14.15,2025-04-08,81.0,2092520,0.0969,2025-04-14,6.0,2025-04-14,6.0,16.2,2025-08-07,2025-09-05,True
SUPV,SUPV,Business description unavailable.,USD,11.78,11.78,2025-12-30,4.69,2025-10-01,151.2,18.91,2025-01-10,4.69,2025-10-01,75.2,1400083,0.0744,2025-10-09,8.0,2025-10-09,8.0,4.69,2025-10-01,2025-10-09,True
